feature_row,source_id,class_label,hard_label,entropy,membership_0,membership_1,membership_2,membership_3,membership_4,membership_5,membership_6
0,b855dcf781196bdf4acdb6d3be0f3aa9f92a2a293d651b2d2bb180a8bf73035e,Anthracnose(102),4,0.9999999999999832,0.14285713697170155,0.14285713980814543,0.14285709938777516,0.14285717291504232,0.14285720158085755,0.1428570929411785,0.14285715639529953
1,87cbaa0917db06ba22386cfefc348f6e0f1c8d41f630462a04943de4865a5db4,Anthracnose(102),4,0.9999999999999936,0.14285713941634945,0.14285714107214842,0.1428571174667747,0.14285716041398758,0.14285717716028865,0.14285711370362605,0.1428571507668251
2,4a8cf82c320296d8022fa24f70b49324ec0cb8a233815cc77f65c996ac1d0060,Anthracnose(102),4,0.9999999999999821,0.1428571367802873,0.1428571397031193,0.1428570980259728,0.14285717385683608,0.1428572034267958,0.14285709138307484,0.14285715682391395
3,beaca11596033dd112544ffda1492c5001772c521478dc629b6a217377080128,Anthracnose(102),4,0.999999999999985,0.1428571373272313,0.14285713998557717,0.14285710208605198,0.14285717104968967,0.1428571979440279,0.14285709604530092,0.1428571555621211
4,eb2943a18cceec63d2092dedf0198eb7804a571e3afa3c038349f5df330e3f06,Anthracnose(102),4,0.99999999999999,0.1428571383486872,0.1428571405088629,0.14285710967728343,0.14285716580058885,0.14285718769468592,0.14285710476835253,0.14285715320153913
5,70b5a84d44ffda7840ad92c2faacd92ea09254dfb3634a3348cf213e0cfa4456,Anthracnose(102),5,0.9999999999999979,0.14285714441546227,0.14285714364228383,0.14285715457074596,0.14285713475822284,0.14285712705729672,0.1428571563287434,0.1428571392272449
6,6513ae19078b995e6b34bf8d7aeea25a37be6006561731d370f4d5329a502e43,Anthracnose(102),5,0.9999999999999903,0.14285714720466952,0.14285714508209327,0.14285717522334423,0.142857120477769,0.14285709916331094,0.1428571800487308,0.1428571328000823
7,c7aaa4a29753ec27c41c9c2bcdcdab975d27eec4cf4e70b60c8dee53acb51aee,Anthracnose(102),4,0.9999999999999847,0.1428571372437689,0.14285713994801966,0.14285710140772834,0.1428571715183453,0.14285719885330486,0.14285709526166357,0.14285715576716948
8,8396b72c811ffc54aa9b89298c6afaa43a3ebf726bef63635d25148fdea4b6b4,Anthracnose(102),4,0.9999999999999843,0.14285713720551227,0.14285713992630797,0.14285710114467792,0.14285717170034187,0.14285719921094064,0.14285709496124713,0.14285715585097214
9,bb4e4be9f661773672aa4b393cc3e825bf0f62b4d563b17df43d77247ae10a45,Anthracnose(102),5,0.9999999999999735,0.1428571502379575,0.14285714663804272,0.14285719779825373,0.14285710486893066,0.14285706868617531,0.14285720598417068,0.14285712578646934
10,e12d7b8c036b365bd2dcb9ab1559ec380a9b1a2e6217104892f11182c35ae25d,Anthracnose(102),4,0.9999999999999936,0.1428571393582307,0.1428571410416633,0.14285711704041773,0.14285716070879995,0.14285717773662807,0.14285711321443503,0.14285715089982529
11,c6a52e79d8dcf8418e820334987c61fa30b74f8e443d9ce7de6b6e2a8d67b521,Anthracnose(102),4,0.9999999999999895,0.14285713826808438,0.14285714047311204,0.1428571090208261,0.14285716625419514,0.14285718857436971,0.14285710400927557,0.14285715340013705
12,7db30e7a704366f44641e124b4052c8d47295a96fbc19f437249f90714b2c0d5,Anthracnose(102),4,0.9999999999999899,0.14285713839824965,0.1428571405344954,0.14285711004515236,0.14285716554624933,0.14285718719792898,0.14285710519071687,0.14285715308720734
13,2cb6a7b46210b7b9362b49c03e03b521e06058a615bee11dad4631686f2f43c0,Anthracnose(102),4,0.9999999999999932,0.14285713926655222,0.1428571409943236,0.14285711636403767,0.14285716117653888,0.14285717865039926,0.14285711243745577,0.1428571511106927
14,46b56510d1634f55da4625ff12d15fd342cd90b0e524fc58b42f790ff3f734ce,Anthracnose(102),4,0.9999999999999789,0.14285713622804966,0.1428571394161631,0.14285709395531732,0.1428571766716213,0.14285720892688725,0.14285708670952893,0.14285715809243246
15,6943ab94dac5431b78c31b826203c3fb49b82e2d99f383935f2804fb69bc9d3e,Anthracnose(102),4,0.9999999999999887,0.14285713805472275,0.14285714035471417,0.14285710752433,0.14285716728938921,0.14285719060528948,0.14285710229776558,0.14285715387378886
16,c8657185ea469ecd1112d617e67b58d06b60ae28da226daa1f7b7b0f27b3cd38,Anthracnose(102),4,0.9999999999999987,0.14285714182068887,0.1428571422913414,0.14285713547585074,0.1428571479622249,0.14285715286114645,0.1428571344077851,0.14285714518096249
17,4c2b44f3e3130972dad56d12bf4c65bfddfe70f94e120e268109d1b0ad97437f,Anthracnose(102),4,0.9999999999999841,0.14285713715956005,0.14285713991575832,0.1428571006744601,0.14285717202486817,0.1428571998307582,0.1428570944094117,0.14285715598518336
18,3f7812fb258535235edd6c60f77da30efe62efc24ac972e0a3f842ca1220424d,Anthracnose(102),4,0.999999999999979,0.14285713627533805,0.14285713946226933,0.1428570941047078,0.14285717656759586,0.1428572087012512,0.14285708686081533,0.14285715802802243
19,526fd33e4b2ea5317eab207b64b358fb75925782ebac10fe639c35e4d6f8cb6d,Anthracnose(102),4,0.9999999999999835,0.14285713704752367,0.14285713986227433,0.14285709980496125,0.14285717262595443,0.1428572010003674,0.14285709340668198,0.14285715625223708
20,1603d84c9698fb404321601923cdfa49348e52d3127dea0fc9cb323156dd43e5,Anthracnose(102),4,0.9999999999999828,0.14285713693835433,0.14285713979863401,0.14285709907491498,0.14285717313122165,0.14285720199543547,0.1428570925742891,0.1428571564871505
21,23267d001bb4a99631f67e346cd47ba951e215063368aece482c982e3a395686,Anthracnose(102),4,0.9999999999999791,0.1428571363111562,0.14285713948052148,0.14285709437389868,0.14285717638150514,0.14285720833810442,0.14285708717009124,0.14285715794472278
22,6b1a65bb153f42171dda7e15979b6558a67e6c1c17b8bb62233a876beff828f2,Anthracnose(102),4,0.9999999999999833,0.14285713702415567,0.14285713982351958,0.14285709988472006,0.1428571725718142,0.1428572009225582,0.14285709352287732,0.14285715625035492
