feature_row,source_id,class_label,filename,hard_cluster,membership_0,membership_1,membership_2,membership_3,membership_4
0,b855dcf781196bdf4acdb6d3be0f3aa9f92a2a293d651b2d2bb180a8bf73035e,Anthracnose(102),Anthracnose (1).jpg,4,0.19999999753395678,0.20000000110308264,0.19999999886815154,0.20000000067526405,0.200000001819545
1,87cbaa0917db06ba22386cfefc348f6e0f1c8d41f630462a04943de4865a5db4,Anthracnose(102),Anthracnose (10).jpg,4,0.19999999265820376,0.20000000328588352,0.19999999663149093,0.20000000200923992,0.2000000054151819
2,4a8cf82c320296d8022fa24f70b49324ec0cb8a233815cc77f65c996ac1d0060,Anthracnose(102),Anthracnose (100).jpg,4,0.1999999427832477,0.200000025733744,0.19999997382935972,0.20000001558183328,0.2000000420718153
3,beaca11596033dd112544ffda1492c5001772c521478dc629b6a217377080128,Anthracnose(102),Anthracnose (101).jpg,4,0.19999985489419267,0.2000000654358957,0.1999999337409499,0.20000003941109323,0.2000001065178684
4,eb2943a18cceec63d2092dedf0198eb7804a571e3afa3c038349f5df330e3f06,Anthracnose(102),Anthracnose (102).jpg,4,0.19999996239301984,0.20000001691592212,0.19999998280004339,0.20000001024046954,0.20000002765054517
5,70b5a84d44ffda7840ad92c2faacd92ea09254dfb3634a3348cf213e0cfa4456,Anthracnose(102),Anthracnose (11).jpg,0,0.20000000558567124,0.19999999735489155,0.20000000246931762,0.19999999856004821,0.19999999603007135
6,6513ae19078b995e6b34bf8d7aeea25a37be6006561731d370f4d5329a502e43,Anthracnose(102),Anthracnose (12).jpg,0,0.2000000804543655,0.19999996353176638,0.20000003661713953,0.19999997826277582,0.1999999411339528
7,c7aaa4a29753ec27c41c9c2bcdcdab975d27eec4cf4e70b60c8dee53acb51aee,Anthracnose(102),Anthracnose (13).jpg,4,0.1999999875599701,0.20000000560100603,0.19999999431383947,0.20000000338412618,0.2000000091410583
8,8396b72c811ffc54aa9b89298c6afaa43a3ebf726bef63635d25148fdea4b6b4,Anthracnose(102),Anthracnose (14).jpg,4,0.19999998763176358,0.20000000556732234,0.199999994345786,0.2000000033654329,0.20000000908969523
9,bb4e4be9f661773672aa4b393cc3e825bf0f62b4d563b17df43d77247ae10a45,Anthracnose(102),Anthracnose (15).jpg,0,0.2000000212643319,0.19999999031279336,0.20000000964689615,0.19999999428463897,0.1999999844913396
10,e12d7b8c036b365bd2dcb9ab1559ec380a9b1a2e6217104892f11182c35ae25d,Anthracnose(102),Anthracnose (16).jpg,0,0.2000000036280626,0.19999999833149598,0.20000000163579393,0.19999999903438295,0.19999999737026455
