feature_row,source_id,class_label,hard_label,entropy,membership_0,membership_1,membership_2,membership_3,membership_4
0,b855dcf781196bdf4acdb6d3be0f3aa9f92a2a293d651b2d2bb180a8bf73035e,Anthracnose(102),4,0.9999999999999797,0.19999997070852074,0.19999996438077713,0.199999947171392,0.20000003838559172,0.2000000793537185
1,87cbaa0917db06ba22386cfefc348f6e0f1c8d41f630462a04943de4865a5db4,Anthracnose(102),4,0.9999999999999928,0.19999998288903345,0.1999999791921175,0.1999999691413619,0.20000002242189588,0.20000004635559138
2,4a8cf82c320296d8022fa24f70b49324ec0cb8a233815cc77f65c996ac1d0060,Anthracnose(102),4,0.9999999999999784,0.1999999697869083,0.1999999632582888,0.1999999455129003,0.20000003959012516,0.2000000818517774
3,beaca11596033dd112544ffda1492c5001772c521478dc629b6a217377080128,Anthracnose(102),4,0.999999999999982,0.19999997252006158,0.1999999665843537,0.1999999504456489,0.2000000360063433,0.20000007444359247
4,eb2943a18cceec63d2092dedf0198eb7804a571e3afa3c038349f5df330e3f06,Anthracnose(102),4,0.999999999999988,0.19999997763224509,0.19999997279794143,0.1999999596682344,0.20000002930441654,0.20000006059716266
5,70b5a84d44ffda7840ad92c2faacd92ea09254dfb3634a3348cf213e0cfa4456,Anthracnose(102),2,0.9999999999999979,0.20000000787681255,0.2000000095733531,0.20000001422185795,0.1999999896645907,0.19999997866338562
6,6513ae19078b995e6b34bf8d7aeea25a37be6006561731d370f4d5329a502e43,Anthracnose(102),2,0.9999999999999885,0.2000000217888824,0.20000002649055856,0.20000003931756355,0.19999997142965859,0.19999994097333698
7,c7aaa4a29753ec27c41c9c2bcdcdab975d27eec4cf4e70b60c8dee53acb51aee,Anthracnose(102),4,0.9999999999999813,0.19999997206875475,0.1999999660347458,0.1999999496255425,0.20000003660232454,0.20000007566863243
8,8396b72c811ffc54aa9b89298c6afaa43a3ebf726bef63635d25148fdea4b6b4,Anthracnose(102),4,0.9999999999999812,0.1999999718897575,0.1999999658171047,0.19999994930452092,0.20000003683550507,0.20000007615311188
9,bb4e4be9f661773672aa4b393cc3e825bf0f62b4d563b17df43d77247ae10a45,Anthracnose(102),2,0.999999999999968,0.2000000369845249,0.2000000449716608,0.20000006674118154,0.19999995150328506,0.1999998997993478
10,e12d7b8c036b365bd2dcb9ab1559ec380a9b1a2e6217104892f11182c35ae25d,Anthracnose(102),4,0.9999999999999925,0.19999998260155474,0.19999997884232495,0.19999996862301814,0.20000002279847245,0.2000000471346296
