source_id,class_label,is_original,augmentation_type,augmentation_index,augmentation_slug,parent_filename,filename,output_path,sha256,original_width,original_height,letterbox_target_width,letterbox_target_height,letterbox_scale,letterbox_resized_width,letterbox_resized_height,letterbox_x_offset,letterbox_y_offset,letterbox_fill_r,letterbox_fill_g,letterbox_fill_b,per_image_seed,manifest_version,pipeline_random_seed
b855dcf781196bdf4acdb6d3be0f3aa9f92a2a293d651b2d2bb180a8bf73035e,Anthracnose(102),true,ORIGINAL,,,Anthracnose (1).jpg,Anthracnose (1).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (1).jpg,08dc4c41e9dbef1ae92a7ccc5a58873fcee66bcd231cd3600cc3ddd61221ad7d,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,86796,1.0.0,42
87cbaa0917db06ba22386cfefc348f6e0f1c8d41f630462a04943de4865a5db4,Anthracnose(102),true,ORIGINAL,,,Anthracnose (10).jpg,Anthracnose (10).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (10).jpg,2de82c35c722175e7c3607e7c65c488257afd18e30de0e054b99aeb9482c6e76,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,55894,1.0.0,42
4a8cf82c320296d8022fa24f70b49324ec0cb8a233815cc77f65c996ac1d0060,Anthracnose(102),true,ORIGINAL,,,Anthracnose (100).jpg,Anthracnose (100).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (100).jpg,faa4c4787e911ef12ac188e42a5ff9f6464743353f434b45a8d8bd1fbdb09e3b,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,49764,1.0.0,42
beaca11596033dd112544ffda1492c5001772c521478dc629b6a217377080128,Anthracnose(102),true,ORIGINAL,,,Anthracnose (101).jpg,Anthracnose (101).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (101).jpg,6f10453c156344825e47abae9c04ce72ffd4c02311d3c84b92cd6f0f88c6d0fd,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,27260,1.0.0,42
eb2943a18cceec63d2092dedf0198eb7804a571e3afa3c038349f5df330e3f06,Anthracnose(102),true,ORIGINAL,,,Anthracnose (102).jpg,Anthracnose (102).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (102).jpg,0907356c83dfe27ab51c163c0c517f14fedce758d7248296774a4b821699225d,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,78099,1.0.0,42
70b5a84d44ffda7840ad92c2faacd92ea09254dfb3634a3348cf213e0cfa4456,Anthracnose(102),true,ORIGINAL,,,Anthracnose (11).jpg,Anthracnose (11).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (11).jpg,e89e90a0f4cdcc6262f194971817450a17a8bb891dd5171af5fa1f800ff9afd6,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,8104,1.0.0,42
6513ae19078b995e6b34bf8d7aeea25a37be6006561731d370f4d5329a502e43,Anthracnose(102),true,ORIGINAL,,,Anthracnose (12).jpg,Anthracnose (12).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (12).jpg,28dcb7450ab900fb94f8e6d2f36ee7b1ff5023f2baa16ffc1e17bca12d567661,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,33581,1.0.0,42
c7aaa4a29753ec27c41c9c2bcdcdab975d27eec4cf4e70b60c8dee53acb51aee,Anthracnose(102),true,ORIGINAL,,,Anthracnose (13).jpg,Anthracnose (13).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (13).jpg,76d7d9084812e532af5b6ad59cb924ebc92f634ae167f0debe6b7c2324902b7d,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,52094,1.0.0,42
8396b72c811ffc54aa9b89298c6afaa43a3ebf726bef63635d25148fdea4b6b4,Anthracnose(102),true,ORIGINAL,,,Anthracnose (14).jpg,Anthracnose (14).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (14).jpg,3e57282927ea93bbd7ba3711d01417402bf0b79215bbbb3be2248ef0dc7d1f29,433,577,640,640,1.10918544,480,640,80,0,255,255,255,92724,1.0.0,42
bb4e4be9f661773672aa4b393cc3e825bf0f62b4d563b17df43d77247ae10a45,Anthracnose(102),true,ORIGINAL,,,Anthracnose (15).jpg,Anthracnose (15).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (15).jpg,bf3e199ab4255190ceeebff2197c6cb597dbd2b4b4ef50d03a82761d68cc3175,433,577,640,640,1.10918544,480,640,80,0,255,255,255,47842,1.0.0,42
e12d7b8c036b365bd2dcb9ab1559ec380a9b1a2e6217104892f11182c35ae25d,Anthracnose(102),true,ORIGINAL,,,Anthracnose (16).jpg,Anthracnose (16).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (16).jpg,e866660563b0ffc19328272fd612d3ff32511fd94734d4c07faaa0e4010953d9,433,577,640,640,1.10918544,480,640,80,0,255,255,255,28401,1.0.0,42
c6a52e79d8dcf8418e820334987c61fa30b74f8e443d9ce7de6b6e2a8d67b521,Anthracnose(102),true,ORIGINAL,,,Anthracnose (17).jpg,Anthracnose (17).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (17).jpg,7ab7d4cf0f42e28c57e82be8fc5297453ccbc9a02047451e8b4df72154d8cd52,300,400,640,640,1.6,480,640,80,0,255,255,255,77542,1.0.0,42
7db30e7a704366f44641e124b4052c8d47295a96fbc19f437249f90714b2c0d5,Anthracnose(102),true,ORIGINAL,,,Anthracnose (18).jpg,Anthracnose (18).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (18).jpg,00358f8d2082b3cfd4ee0f4f3565a983890778e0ad0f78ea98da5125bbcb7d6f,300,400,640,640,1.6,480,640,80,0,255,255,255,15850,1.0.0,42
2cb6a7b46210b7b9362b49c03e03b521e06058a615bee11dad4631686f2f43c0,Anthracnose(102),true,ORIGINAL,,,Anthracnose (19).jpg,Anthracnose (19).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (19).jpg,91216dd7de6136fd579eda692349af54ee5765bf16fbc664ec73add5f76f666d,1533,2044,640,640,0.31311155,480,640,80,0,255,255,255,12733,1.0.0,42
46b56510d1634f55da4625ff12d15fd342cd90b0e524fc58b42f790ff3f734ce,Anthracnose(102),true,ORIGINAL,,,Anthracnose (2).jpg,Anthracnose (2).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (2).jpg,a30fad4dcabced2d0b8ff2c41c8aeb2604ca23109f8696cb0fceff5e7f1abc36,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,20973,1.0.0,42
6943ab94dac5431b78c31b826203c3fb49b82e2d99f383935f2804fb69bc9d3e,Anthracnose(102),true,ORIGINAL,,,Anthracnose (20).jpg,Anthracnose (20).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (20).jpg,d6cdbcaf2394194852917b0895d136aac4c4a719bf5dcfbe2aac88ca0f69f47d,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,90151,1.0.0,42
c8657185ea469ecd1112d617e67b58d06b60ae28da226daa1f7b7b0f27b3cd38,Anthracnose(102),true,ORIGINAL,,,Anthracnose (21).jpg,Anthracnose (21).jpg,Malabar_Dataset/Anthracnose(102)/Anthracnose (21).jpg,922b066c35a3605dad7f929ae6127b75b77b215e7eba0d2d8c1fb76b0fd9b760,3060,4080,640,640,0.15686275,480,640,80,0,255,255,255,13866,1.0.0,42
4c2b44f3e3130972dad56d12bf4c65bfddfe70f94e120e268109d1b0ad97437f,Anthracnose(102),true,ORIGINAL,,,Anthracnose (22).JPG,Anthracnose (22).JPG,Malabar_Dataset/Anthracnose(102)/Anthracnose (22).JPG,3be9c603474d08848d8f973423d92fd07e7a3b0dfe2719c7be745d4bb4a3bd7c,5712,4284,640,640,0.11204482,640,480,0,80,255,255,255,26805,1.0.0,42
